Location
"`Abasan al Kabirah, Gaza Strip"
"`Adra, Syria"
"`Afrin, Syria"
"`Ain el Hadjel, Algeria"
"`Ajab Shir, Iran"
"`Ajlun, Jordan"
"`Ajman, United Arab Emirates"
"`Akko, Israel"
"`Alem T'ena, Ethiopia"
"`Ali Shahr, Iran"
"`Aliabad-e Katul, Iran"
"`Amran, Yemen"
"`Amuda, Syria"
"`Anadan, Syria"
"`Anah, Iraq"
"`Anbarabad, Iran"
"`Aqrah, Iraq"
"`Ayn al `Arab, Syria"
"`Aynkawah, Iraq"
"`Ibri, Oman"
"`Izbat al Burj, Egypt"
"`Unayzah, Saudi Arabia"
"`Utaybah, Syria"
"A Coruna, Spain"
"A Yun Pa, Vietnam"
"Aabenraa, Denmark"
"Aachen, Germany"
"Aadorf, Switzerland"
"Aalborg, Denmark"
"Aalen, Germany"
"Aaley, Lebanon"
"Aalsmeer, Netherlands"
"Aalst, Belgium"
"Aalten, Netherlands"
"Aanekoski, Finland"
"Aarau, Switzerland"
"Aarhus, Denmark"
"Aars, Denmark"
"Aarsal, Lebanon"
"Aarschot, Belgium"
"Aartselaar, Belgium"
"Aasiaat, Greenland"
"Ab Pakhsh, Iran"
"Aba, China"
"Aba, Nigeria"
"Abadan, Turkmenistan"
"Abadiania, Brazil"
"Abadla, Algeria"
"Abadou, Morocco"
"Abaete, Brazil"
"Abaetetuba, Brazil"
"Abai, Paraguay"
"Abaiara, Brazil"
"Abaji, Nigeria"
"Abakaliki, Nigeria"
"Abakan, Russia"
"Abalessa, Algeria"
"Abancay, Peru"
"Abangaritos, Costa Rica"
"Abano Terme, Italy"
"Abaran, Spain"
"Abare, Brazil"
"Abarkuh, Iran"
"Abashiri, Japan"
"Abasingammedda, Sri Lanka"
"Abasolo, Mexico"
"Abasolo, Mexico"
"Abay, Kazakhstan"
"Abay, Kazakhstan"
"Abaza, Russia"
"Abbeville, France"
"Abbeville, United States"
"Abbiategrasso, Italy"
"Abbigeri, India"
"Abbigeri, India"
"Abbots Langley, United Kingdom"
"Abbotsford, Canada"
"Abbottabad, Pakistan"
"Abcoude, Netherlands"
"Abdul Hakim, Pakistan"
